name,lat,long,facility_type,ownership,emergency_beds_x,ambulance_available_x,emergency_beds_y,ambulance_available_y,hospital_name_clean,insurance_networks
Bharti Homeopathic Hospitalnan,18.4588916,73.85680646,private hospital,Private,,,,,bharti homeopathic hospitalnan,[]
Bharti Hospitalnan,18.4589235,73.85678324,private hospital,Private,,,,,bharti hospitalnan,"['Aditya Birla', 'HDFC ERGO']"
Bharti Ayurved Hospitalnan,18.4589627,73.85625754,private hospital,Private,,,,,bharti ayurved hospitalnan,[]
Yugpurush Raja Shiv Chatrapati Bibvewadi (Appar) Pune manapa,18.461404,73.868892,Government hospital(PMC),Government,,,,,yugpurush raja shiv chatrapati bibvewadi appar pune manapa,[]
Trimurti Hospital,18.4621095,73.81491098,private hospital,Private,N.A.,N.A.,N.A.,N.A.,trimurti hospital,[]
Eye Clinic,18.4622284,73.8927897,private clinic,Private,,,,,eye clinic,"['TATA AIG', 'Aditya Birla']"
Adate General Hospital,18.4627945,73.81436613,private hospital,Private,N.A.,N.A.,N.A.,N.A.,adate general hospital,[]
Sidhhi Hospital Laproscopy Center,18.4642915,73.85931902,private hospital,Private,,,,,sidhhi hospital laproscopy center,['Care Health']
Rakshak Multi Specility Hospital,18.4643487,73.81532899,private hospital,Private,,,,,rakshak multi specility hospital,[]
rejuva skin clinic,18.465353,73.816526,private clinic,Private,,,,,rejuva skin clinic,[]
Chaitanya Nursing Homenan,18.4653789,73.85251713,private hospital,Private,,,,,chaitanya nursing homenan,[]
Anand Hospitalnan,18.4654492,73.85057513,private hospital,Private,,,,,anand hospitalnan,"['TATA AIG', 'Care Health']"
Modi Clinicnan,18.4654574,73.85641785,private hospital,Private,,,,,modi clinicnan,[]
Pawar Hospital,18.465905,73.86010142,private hospital,Private,,,,,pawar hospital,"['TATA AIG', 'HDFC ERGO', 'Aditya Birla']"
Chordiya Nursing Home,18.466031,73.86396181,private hospital,Private,,,,,chordiya nursing home,[]
Disha Nursing Homenan,18.4663047,73.85234715,private hospital,Private,,,,,disha nursing homenan,[]
Sharad Hospital,18.4684337,73.81891139,private hospital,Private,N.A.,N.A.,N.A.,N.A.,sharad hospital,"['TATA AIG', 'Care Health']"
Sarwat Hospital,18.4704972,73.88780422,private hospital,Private,N.A.,N.A.,N.A.,N.A.,sarwat hospital,"['TATA AIG', 'Care Health']"
Satyanand  Hospital,18.4707934,73.88868992,private hospital,Private,,,,,satyanand hospital,"['TATA AIG', 'Care Health', 'HDFC ERGO', 'Aditya Birla']"
Unity Ortho & Eyes Hospital,18.4712384,73.85746393,private hospital,Private,N.A.,N.A.,N.A.,N.A.,unity ortho eyes hospital,[]
Anand Hospital,18.4713277,73.86397524,private hospital,Private,N.A.,N.A.,N.A.,N.A.,anand hospital,"['TATA AIG', 'Care Health', 'HDFC ERGO']"
Pbmas H.V.Desai Hospital,18.4723273,73.9238448,private hospital,Private,,,,,pbmas hvdesai hospital,[]
Wadekar Nursing Home (MaternityHome & Dispensary),18.472983,73.81941069,private hospital,Private,,,,,wadekar nursing home maternityhome dispensary,[]
Dr. Bhagli Nursing Home,18.4746086,73.85792077,private hospital,Private,N.A.,N.A.,N.A.,N.A.,dr bhagli nursing home,"['TATA AIG', 'Care Health']"
Dr. Bhagli Clinic,18.4746388,73.85791895,private hospital,Private,N.A.,N.A.,N.A.,N.A.,dr bhagli clinic,[]
Parasnis Hospital,18.4746652,73.85874774,private hospital,Private,N.A.,N.A.,N.A.,N.A.,parasnis hospital,"['TATA AIG', 'HDFC ERGO', 'Aditya Birla']"
Shubham Skin Clinic,18.4747751,73.814956,private clinic,Private,,,,,shubham skin clinic,[]
Chintamani Hospital,18.4757006,73.86208654,private hospital,Private,N.A.,N.A.,N.A.,N.A.,chintamani hospital,"['TATA AIG', 'Care Health', 'HDFC ERGO', 'Aditya Birla']"
Chintamani Hospital,18.4757006,73.86208654,private hospital,Private,N.A.,N.A.,N.A.,N.A.,chintamani hospital,"['TATA AIG', 'Care Health', 'HDFC ERGO', 'Aditya Birla']"
Chintamani Hospital,18.4757006,73.86208654,private hospital,Private,N.A.,N.A.,N.A.,N.A.,chintamani hospital,"['TATA AIG', 'Care Health', 'HDFC ERGO', 'Aditya Birla']"
Chintamani Hospital,18.4757006,73.86208654,private hospital,Private,N.A.,N.A.,N.A.,N.A.,chintamani hospital,"['TATA AIG', 'Care Health', 'HDFC ERGO', 'Aditya Birla']"
Late. Minatai Thakare Maternity Home,18.475892,73.889505,Government hospital(PMC),Government,,,,,late minatai thakare maternity home,[]
Late. Shivshankar Pote Dawakhana,18.4765,73.856033,Government hospital(PMC),Government,,,,,late shivshankar pote dawakhana,[]
Sangam Hospital,18.4765191,73.85750876,private hospital,Private,N.A.,N.A.,N.A.,N.A.,sangam hospital,"['TATA AIG', 'Care Health', 'HDFC ERGO', 'Aditya Birla']"
