policy_name,insurer,hospital_name,city,coverage_type,hospital_name_clean
TATA AIG MediCare,TATA AIG,yogesh hosptial,Pune,Cashless,yogesh hosptial
TATA AIG MediCare,TATA AIG,deendayal hospital,Pune,Cashless,deendayal hospital
TATA AIG MediCare,TATA AIG,atharva netralaya and research pvt ltd,Pune,Cashless,atharva netralaya and research pvt ltd
TATA AIG MediCare,TATA AIG,oyster and pearl hospital pvt. ltd.,Pune,Cashless,oyster and pearl hospital pvt ltd
TATA AIG MediCare,TATA AIG,sancheti institute for orthopedics and rahabilitation,Pune,Cashless,sancheti institute for orthopedics and rahabilitation
TATA AIG MediCare,TATA AIG,national institute of ophthalmology,Pune,Cashless,national institute of ophthalmology
TATA AIG MediCare,TATA AIG,n.m.wadia institute of cardiology,Pune,Cashless,nmwadia institute of cardiology
TATA AIG MediCare,TATA AIG,karne hospital pvt ltd,Pune,Cashless,karne hospital pvt ltd
TATA AIG MediCare,TATA AIG,sharada clinic,Pune,Cashless,sharada clinic
TATA AIG MediCare,TATA AIG,deodhar eye hospital,Pune,Cashless,deodhar eye hospital
TATA AIG MediCare,TATA AIG,oyster & pearl hospital shree/onp hospital,Pune,Cashless,oyster pearl hospital shreeonp hospital
TATA AIG MediCare,TATA AIG,paranjpe eye clinic & eye surgery centre,Pune,Cashless,paranjpe eye clinic eye surgery centre
TATA AIG MediCare,TATA AIG,smcrs hardikar hospital,Pune,Cashless,smcrs hardikar hospital
TATA AIG MediCare,TATA AIG,kamal nursing home,Pune,Cashless,kamal nursing home
TATA AIG MediCare,TATA AIG,ace hospital and research centre,Pune,Cashless,ace hospital and research centre
TATA AIG MediCare,TATA AIG,sanjeevan hospital - pune,Pune,Cashless,sanjeevan hospital pune
TATA AIG MediCare,TATA AIG,shahade hospital,Pune,Cashless,shahade hospital
TATA AIG MediCare,TATA AIG,om hospital,Pune,Cashless,om hospital
TATA AIG MediCare,TATA AIG,jehangir hospital,Pune,Cashless,jehangir hospital
TATA AIG MediCare,TATA AIG,ranka hospital,Pune,Cashless,ranka hospital
TATA AIG MediCare,TATA AIG,ruby hall clinic,Pune,Cashless,ruby hall clinic
TATA AIG MediCare,TATA AIG,sadhu vaswani missions medical complex .,Pune,Cashless,sadhu vaswani missions medical complex
TATA AIG MediCare,TATA AIG,lokmanya hospitals pvt ltd,Pune,Cashless,lokmanya hospitals pvt ltd
TATA AIG MediCare,TATA AIG,apollo spectra hospitals (unit of apollo specialty hospitals pvt ltd),Pune,Cashless,apollo spectra hospitals unit of apollo specialty hospitals pvt ltd
TATA AIG MediCare,TATA AIG,bhandari maternity and nursing home,Pune,Cashless,bhandari maternity and nursing home
TATA AIG MediCare,TATA AIG,chandralok hospital,Pune,Cashless,chandralok hospital
TATA AIG MediCare,TATA AIG,harsh hospital,Pune,Cashless,harsh hospital
TATA AIG MediCare,TATA AIG,rao nursing home,Pune,Cashless,rao nursing home
TATA AIG MediCare,TATA AIG,lmmfs deenanath mangeshkar hospital pune,Pune,Cashless,lmmfs deenanath mangeshkar hospital pune
TATA AIG MediCare,TATA AIG,shah accident hospital,Pune,Cashless,shah accident hospital
TATA AIG MediCare,TATA AIG,satyanand hospital,Pune,Cashless,satyanand hospital
