name,lat,long,facility_type,ownership,emergency_beds_x,ambulance_available_x,emergency_beds_y,ambulance_available_y
Bharti Homeopathic Hospitalnan,18.4588916,73.85680646,private hospital,Private,,,,
Bharti Hospitalnan,18.4589235,73.85678324,private hospital,Private,,,,
Bharti Ayurved Hospitalnan,18.4589627,73.85625754,private hospital,Private,,,,
Yugpurush Raja Shiv Chatrapati Bibvewadi (Appar) Pune manapa,18.461404,73.868892,Government hospital(PMC),Government,,,,
Trimurti Hospital,18.4621095,73.81491098,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Eye Clinic,18.4622284,73.8927897,private clinic,Private,,,,
Adate General Hospital,18.4627945,73.81436613,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Sidhhi Hospital Laproscopy Center,18.4642915,73.85931902,private hospital,Private,,,,
Rakshak Multi Specility Hospital,18.4643487,73.81532899,private hospital,Private,,,,
rejuva skin clinic,18.465353,73.816526,private clinic,Private,,,,
Chaitanya Nursing Homenan,18.4653789,73.85251713,private hospital,Private,,,,
Anand Hospitalnan,18.4654492,73.85057513,private hospital,Private,,,,
Modi Clinicnan,18.4654574,73.85641785,private hospital,Private,,,,
Pawar Hospital,18.465905,73.86010142,private hospital,Private,,,,
Chordiya Nursing Home,18.466031,73.86396181,private hospital,Private,,,,
Disha Nursing Homenan,18.4663047,73.85234715,private hospital,Private,,,,
Sharad Hospital,18.4684337,73.81891139,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Sarwat Hospital,18.4704972,73.88780422,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Satyanand  Hospital,18.4707934,73.88868992,private hospital,Private,,,,
Unity Ortho & Eyes Hospital,18.4712384,73.85746393,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Anand Hospital,18.4713277,73.86397524,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Pbmas H.V.Desai Hospital,18.4723273,73.9238448,private hospital,Private,,,,
Wadekar Nursing Home (MaternityHome & Dispensary),18.472983,73.81941069,private hospital,Private,,,,
